Title,Category,Year,Subtitle,Questions,Answer
m2022_24,マンション管理士,2022,24,警備業に関する次の記述のうち、警備業法（昭和 47 年法律第 117 号）の規定によれば、誤っているものはどれか。 １ 警備業を営もうとする者は、都道府県公安委員会から認定を受けなければならず、認定を受けないで警備業を営んだ者は、刑事処分の対象となる。 ２ 警備業法における警備業務とは、他人の需要に応じて盗難等の事故の発生を警戒し、防止する業務をいうが、例えば、デパートにおいて、その従業員が商品の万引き防止のために店内の警戒を行う業務も警備業務に該当する。 ３ 警備業法は、警備員又は警備員になろうとする者について、その知識及び能力に関する検定を行うことを定めているが、検定に合格したとしても、18 歳未満の者は警備員となってはならない。 ４ 警備業者は、警備業務の依頼者と警備業務を行う契約を締結しようとするときは、当該契約をするまでに、その概要について記載した書面を交付しなければならず、契約を締結したときは、遅滞なく、当該契約の内容を明らかにする書面を依頼者に交付（電磁的方法による提供を含む。）しなければならない。,2
m2022_25,マンション管理士,2022,25,配管設備の工事等に関する次のマンション管理士の意見のうち、標準管理規約によれば、適切でないものはどれか。 １ 共用部分配管設備の清掃等に要する費用は、共用設備の保守維持費として管理費を充当することが可能です。 ２ 共用部分の配管の取替えはそれだけでかなり多額の費用がかかるため、特別決議により実施する必要があります。 ３ 共用部分の配管の取替えと専有部分の配管の取替えを同時に行うことにより、専有部分の配管の取替えを単独で行うよりも費用が軽減される場合には、これらについて一体的に工事を行うことも考えられます。 ４ あらかじめ長期修繕計画において専有部分の配管の取替えについて記載し、その工事費用を修繕積立金から拠出することについて規約に規定しておくことにより、修繕積立金を取り崩すことができます。,2
m2022_26,マンション管理士,2022,26,盗難被害が発生したマンションの管理組合における今後の防犯対策に関する次の記述のうち、標準管理規約によれば、適切でないものはどれか。 １ マンションやその周辺における防災・防犯活動のうち、その経費に見合ったマンションの資産価値の向上がもたらされるもので、建物並びにその敷地及び附属施設の管理の範囲内で行われる活動については、管理組合で実施することができる。 ２ １階部分の住戸の区分所有者から、住戸の窓や扉等の開口部につき防犯機能を強化するための改良工事を、当該区分所有者の責任と負担において実施する旨の申出があった場合において、管理組合が当該工事を速やかに実施できないときは、理事長は、理事会の決議を経て当該工事の実施の承認をすることができる。 ３ 共用部分に防犯カメラを設置する工事や敷地内に防犯灯を設置する工事は、総会の普通決議により実施可能である。 ４ 現在空室となっている住戸に不審者が出入りをしているとの通報があった場合には、理事長は、当該住戸の区分所有者に対し請求をすることなく、直ちに当該住戸に立ち入り、室内を確認することができる。,4
m2022_27,マンション管理士,2022,27,修繕積立金を取り崩して充当することができる経費に関する次の記述のうち、標準管理規約によれば、適切でないものはどれか。 １ 建物の建替え及びマンション敷地売却に係る合意形成に必要となる事項の調査費用 ２ 敷地及び共用部分等の管理に関し、区分所有者全体の利益のために特別に必要となる管理費用 ３ WEB 会議システムで理事会が開催できるようにするための理事全員分の器材一括購入費用 ４ 不測の事故により必要となる修繕費用,3
m2022_28,マンション管理士,2022,28,WEB 会議システム等を用いた総会の招集等に関する次のマンション管理士の意見のうち、標準管理規約によれば、適切なものはいくつあるか。 ア 総会を招集するには、少なくとも総会開催の日の２週間前までに日時、WEB 会議システム等にアクセスする方法及び会議の目的を示して組合員に通知を発しなければなりません。 イ 管理者である理事長が総会で管理組合の業務執行に関する報告をするときは、各組合員からの質疑に対して適切に応答する必要があるので、理事長自身は WEB 会議システム等により報告することはできません。 ウ 総会の目的が建替え決議や敷地売却決議であるときは、それらの説明会はWEB 会議システム等で行うことができますが、決議そのものは WEB 会議システム等で行うことはできません。 エ 総会において議決権を行使することができない傍聴人として WEB 会議システム等を用いて議事を傍聴する組合員については、定足数の算出においては出席組合員には含まれないと考えられます。 １ 一つ ２ 二つ ３ 三つ ４ 四つ,2
m2022_29,マンション管理士,2022,29,甲マンション 103 号室については、当該住戸に居住しているＡと、外部に居住しているＢの共有となっている。また、総会に先立ち、あらかじめＢを議決権行使者とする理事長への届出がなされている。この場合において、総会運営における 103 号室の取扱いに関する次の記述のうち、標準管理規約によれば、適切でないものはどれか。 １ Ｂが通知先としてその住所を管理組合に届け出ていない場合には、総会の招集の通知は 103 号室あてに発することで、招集手続として有効である。 ２ Ａ及びＢがともに総会を欠席したが、Ａが議決権行使書を提出していた場合には、定足数の確認においては、103 号室の組合員を「出席」と扱ってよい。 ３ Ａが総会に出席し、Ｂが議決権行使書を提出していた場合には、Ａの総会の場での賛否の意思表示にかかわらず、Ｂが提出した議決権行使書の内容を、 103 号室の賛否とする。 ４ 甲マンションの他の組合員Ｃを代理人として議決権を行使しようとする場合には、Ｂを委任者、Ｃを受任者とする委任状を作成し、理事長に提出する必要がある。,2
m2022_30,マンション管理士,2022,30,IT を活用した管理組合の運営や手続きに関する次の記述のうち、標準管理規約によれば、適切なものはどれか。 １ 組合員が総会において議決権を行使する場合、書面による議決権の行使に代えて、電磁的方法によって行使することは認められていない。 ２ 電磁的記録で作成された議事録の閲覧請求があったときは、当該電磁的記録に記録された情報の内容を紙面又は出力装置の映像面に表示する方法により表示したものを請求者の自宅において閲覧させることとなる。 ３ あらかじめ管理規約で WEB 会議システム等を用いて総会が開催できる旨定めている場合に限り、当該方法により総会を開催することができる。 ４ 住戸が売買されて組合員の変動が生じた場合の組合員の資格の得喪の届出は、電磁的方法により行うことができる。,4
m2022_31,マンション管理士,2022,31,理事、理事会等に関する次の記述のうち、標準管理規約によれば、適切なものはどれか。 １ 理事会で、理事長、副理事長及び会計担当理事の役職解任の決議をする場合、WEB 会議システム等によって行うことはできない。 ２ 総会提出議案は、理事の過半数の承諾があれば、書面又は電磁的方法により理事会で決議することができる。 ３ 理事が止むを得ず理事会を欠席する場合には、規約の明文の規定がなくても、あらかじめ通知された事項について書面で賛否を記載し意思表示することが認められる。 ４ 理事長は、未納の管理費等及び使用料の請求に関し、管理組合を代表して訴訟を追行する場合には、理事会の決議を経ることが必要である。,4
m2022_32,マンション管理士,2022,32,団地管理組合の運営に関する次の記述のうち、「マンション標準管理規約（団地型）及びマンション標準管理規約（団地型）コメント」（最終改正 令和３年６月 22 日 国住マ第 33 号）によれば、適切なものはどれか。 １ 団地内のＡ棟の棟総会について、Ａ棟から選出されている理事が招集できるようにするための規約の変更は、Ａ棟の棟総会の決議のみで行うことができる。 ２ 団地総会が成立するためには、それぞれの棟の議決権総数の過半数を有する区分所有者が出席する必要がある。 ３ 敷地内に設置している駐車場の使用料は、駐車場の管理に要する費用に充てるほか、団地修繕積立金として積み立てる必要がある。 ４ 棟総会の議事録は、各棟において保管者を決めて保管し、他の棟の区分所有者を含めた団地管理組合の組合員又はその利害関係人からの請求があれば、閲覧させなければならない。,1
m2022_33,マンション管理士,2022,33,総会決議と管理費等に関する次の記述のうち、「マンション標準管理規約（団地型）及びマンション標準管理規約（団地型）コメント」及び「マンション標準管理規約（複合用途型）及びマンション標準管理規約（複合用途型）コメント」（最終改正 令和３年６月 22 日 国住マ第 33 号）によれば、適切でないものはどれか。 １ １、２階が店舗、３階以上が住宅の複合用途型マンションの住宅だけに設置されているバルコニーの床の防水工事を計画修繕として行う場合には、総会で決議し、その費用は全体修繕積立金を充当する。 ２ 団地型マンションにおいて、一つの棟の耐震性能が低いため耐震改修工事をすることは、当該棟の共用部分の変更ではあるが、団地総会で決議し、その費用は当該棟の修繕積立金を充当する。 ３ １、２階が店舗、３階以上が住宅の複合用途型マンションで、店舗の外壁はタイル張り、住宅の外壁はモルタル仕様である場合において、計画修繕として外壁の改修工事を行うときは、店舗部会及び住宅部会でそれぞれの決議をした上で総会で決議し、その費用は店舗一部修繕積立金及び住宅一部修繕積立金を充当する。 ４ 団地型マンションにおいて、マンション管理適正化法第５条の３第１項に基づく管理計画の認定の申請を行う場合には、各棟ごとの決議を経る必要はなく、団地総会で決議し、その費用は管理費を充当する。,3
m2022_34,マンション管理士,2022,34,"甲マンション管理組合の令和２年度と令和３年度の管理費会計比較収支報告書（会計年度は４月から翌年３月まで）は下表のとおりである。これに関し、会計担当理事が理事会で行った次の説明のうち、適切なものはどれか。ただし、会計処理は発生主義の原則によるものとし、資金の範囲は、現金預金、未収入金、前払金、未払金、前受金とする。（表中の×××は、金額を表す。） 比較収支報告書 甲マンション管理組合（管理費会計） （単位：円） 科 目 令和２年度 令和３年度 管理費 300,000 310,000 駐車場使用料 100,000 110,000 収入合計 400,000 420,000 委託業務費 230,000 230,000 水道光熱費 ××× 90,000 支払保険料 40,000 30,000 支出合計 ××× 350,000 当期収支差額 ××× 70,000 前期繰越収支差額 510,000 ××× 次期繰越収支差額 ××× 630,000 １ 令和３年度の支払保険料が令和２年度より 10,000 円減少した理由は、令和２年度に令和３年度分の保険料 10,000 円を前払いしていたためです。 ２ 令和２年度の水道光熱費は、80,000 円でした。 ３ 令和２年度には組合員Ａの管理費の未収が 10,000 円ありましたが、令和３年度に回収されたため、管理費は 10,000 円増加しました。 ４ 令和２年度の次期繰越収支差額は、580,000 円でした。",2
m2022_35,マンション管理士,2022,35,甲マンション管理組合の令和３年度（令和３年４月１日から令和４年３月 31 日まで）の収支予算案に関し、令和３年４月に開催された理事会において、会計担当理事が行った次の説明のうち、適切でないものはいくつあるか。なお、甲マンションの管理規約は標準管理規約の定めと同一であり、会計処理は発生主義の原則によるものとする。 ア 令和３年度の収支予算案は、通常総会で承認を得なければなりませんが、年度途中における収支予算の変更は、理事会限りで承認することができます。 イ 令和３年２月の大雪による修繕費を令和２年度の決算処理で未払金に計上しましたが、実際の支払は令和３年４月になるため、この修繕費は令和３年度の収支予算案に入れることになります。 ウ 令和２年度に組合員Ａの管理費が未納であったため未収金に計上しましたが、将来不足が生じないように令和３年度の収支予算案に令和２年度未収分を上乗せして管理費を予算化しています。 エ 令和２年度に大規模修繕工事が完了し、今後十数年は大規模修繕が見込まれないため、修繕積立金会計から生じる予定の余剰金を管理費会計の令和３年度収支予算案に繰り入れます。 １ 一つ ２ 二つ ３ 三つ ４ 四つ,4
m2022_36,マンション管理士,2022,36,マンションの長期修繕計画に関する次の記述のうち、標準管理規約及び長期修繕計画作成ガイドライン（令和３年９月国土交通省公表）によれば、適切なものはどれか。 １ 修繕工事の実施前に行う建物診断は、長期修繕計画の対象に含まれない。 ２ 窓及び玄関の扉などの開口部の改良工事は、長期修繕計画の対象となる工事に含まれる。 ３ 長期修繕計画の計画期間は、30 年以上、又は大規模修繕工事が２回含まれる期間以上とする。 ４ 長期修繕計画の見直しに当たっては、空き住戸率、賃貸化率、修繕積立金滞納率を考慮する。,2
m2022_37,マンション管理士,2022,37,マンションの建物の外壁に生じる劣化や不具合の状況と調査内容に関する次の記述のうち、適切でないものはどれか。 １ 外壁の目地部分のシーリング材の劣化が心配されたので、シーリング材を部分的に切り取り、引張強度や伸びを調べた。 ２ 外壁タイルのひび割れは、その下地のモルタルやコンクリートが原因であることが多い。 ３ 外壁塗装の白亜化は、下地のコンクリート中の石灰等が水に溶けて塗装面にしみ出すことをいう。 ４ 外壁のコンクリートのひび割れの調査の結果、ひび割れ幅が 0.2 mm～0.4 mm の範囲だったので、漏水の可能性があると判断した。,3
m2022_38,マンション管理士,2022,38,マンションの防水施工に関する次の記述のうち、適切なものはどれか。 １ ウレタン系シーリング材は、耐候性が高いので屋外の金属と金属との接合部の目地に適したシーリング材である。 ２ 屋上の保護アスファルト防水の改修では、既存防水層を撤去し新たな防水層を施工することが一般的である。 ３ 露出アスファルト防水工法は、ルーフバルコニー等の日常的に使用する場所には採用されない。 ４ シリコーン系シーリング材は、耐久性及び接着性が高く、目地周辺を汚染しないので、使用箇所が限定されない。,3
m2022_39,マンション管理士,2022,39,マンションの調査・診断方法とその目的に関する次の組合せのうち、適切でないものはどれか。 １ Ｘ線法 ― 給水管の肉厚の減少や錆こぶの状態 ２ ドリル削孔（粉末）法 ― コンクリートの強度 ３ 反発法 ― 外壁タイルの浮き ４ 電磁波レーダ法 ― コンクリート中の鉄筋の位置,2
m2022_40,マンション管理士,2022,40,マンションの各部の計画に関する次の記述のうち、適切でないものはどれか。 １ 中廊下型のマンションは、片廊下型のマンションに比べ、日照や通風などの居住性が劣っている。 ２ １階部分で壁がなく柱だけで構成された吹き抜け空間のことをピロティという。屋外であっても雨にさらされないため、駐輪場や駐車場として使われることが多い。 ３ マンションで火災が発生した場合、住戸から安全に避難できるよう計画されている必要があるため、避難経路となる全てのバルコニーには、避難器具を設けなければならない。 ４ マンションの管理員室は、管理員の管理事務の空間であるとともに、各種資料の保管場所でもあり、また、居住者から相談を受ける場所でもある。流しやトイレが設置されることもある。,3
m2022_41,マンション管理士,2022,41,マンションの構造などに関する次の記述のうち、適切でないものはどれか。 １ 鉄骨鉄筋コンクリート構造は、鉄骨を鉄筋コンクリートで被覆した構造形式であり、コンクリートの中性化が起きにくい。 ２ 鉄筋コンクリート構造、鉄骨鉄筋コンクリート構造の施工には、多量の水を使用する湿式工法が用いられる。 ３ 鉄骨構造は、地震力などに対して粘り強い構造であるが、鉄筋コンクリート構造と同等の耐火性を備えようとすると、耐火被覆や防錆処理が必要となる。 ４ 地盤改良に用いられる工法は複数あるが、土の間伱部分、特に間伱水をどう処理するかということがポイントとなる。,1
m2022_42,マンション管理士,2022,42,マンションのバリアフリーに関する次の記述のうち、適切でないものはどれか。 １ 高齢者、障害者等の移動等の円滑化の促進に関する法律（平成 18 年法律第91 号）における建築物特定施設には、敷地内の通路や駐車場が含まれる。 ２ 高齢者が住むことが想定される住戸とエレベーターホールをつなぐ共用廊下は、仕上材を滑りにくい材料とし、段差のないつくりとした。 ３ 階段の代わりに設けた傾斜路の両側に、手が置きやすいように床面から85 cm の位置に手すりを設けた。 ４ 建築物移動等円滑化基準に、不特定かつ多数の者が利用し、又は主として高齢者、障害者等が利用する階段は、踊場を含めて手すりを設けることが定められている。,4
m2022_43,マンション管理士,2022,43,マンションの排水設備の清掃・維持管理に関する次の記述のうち、適切でないものはどれか。 １ 高層のマンションの排水立て管では、最上部及び最下部とともに、３階以内ごと又は 15 m 以内ごとに管内清掃用の掃除口を設置することが望ましい。 ２ 敷地内に埋設する排水横管の管径が 125 mm の場合、汚水排水ますは、保守点検及び清掃を容易にするために延長が 20 m の距離間を目安に設置する。 ３ 圧縮空気法による排水管の清掃では、付着物で閉塞した排水管内に水を送り、圧縮空気を放出してその衝撃で付着物を除去する。 ４ 高圧洗浄法による排水管の清掃では、高圧の水を洗浄ノズルから噴射し、噴射力で管内の汚れ、付着物を除去する。,2
m2022_44,マンション管理士,2022,44,マンションの給水設備に関する次の記述のうち、適切なものはどれか。 １ 水道用架橋ポリエチレン管は、耐衝撃性及び耐食性に優れており、主に共用部分に設置する給水立て管に用いられる。 ２ 給水立て管からの各住戸へ配水する分岐管には、専有部分の給水管の更新工事を行う際に、他の給水系統へ水が逆流しないように逆止弁を設ける。 ３ ポンプ直送方式の給水方式における受水槽の有効容量を、マンション全体の１日の使用水量の２分の１程度に設定する。 ４ 専有部分のシャワー水栓の給水圧力を、給水に支障が生じないようにするため、30 kPa とした。,3
m2022_45,マンション管理士,2022,45,マンションの建築設備に関する次の記述のうち、適切なものはどれか。 １ 水栓を閉める際に生じるウォーターハンマーの防止策として、給水管内の流速の上限値を 2.5 m/s とすることが有効である。 ２ ガス給湯器の湯を供給する出湯能力は「号数」で表す。１号は入水温度を20℃上昇させた湯を毎分１ℓ出湯する能力を示す。 ３ 敷地内に設置する排水横主管の管径が 125 mm の場合に、円滑に排水を流すために、勾配を 150 分の１以上とした。 ４ 建築基準法によれば、居室では、シックハウス対策として、換気回数 0.4回/h 以上の機械換気設備の設置が必要である。,3
m2022_46,マンション管理士,2022,46,マンション管理士に関する次の記述のうち、マンション管理適正化法の規定によれば、正しいものはいくつあるか。 ア マンション管理士という名称を使用して区分所有者の相談に応じるためには、マンション管理士試験に合格するほか、国土交通大臣（指定登録機関が登録の実施に関する事務を行う場合は指定登録機関）の登録を受ける必要がある。 イ マンション管理士は、マンション管理士の信用を傷つけるような行為をした場合は、その登録が取り消されるほか、30 万円以下の罰金に処される。 ウ マンション管理士は、５年ごとに、国土交通大臣の登録を受けた者が行う講習を受講しなければならない義務があり、受講しない場合は、マンション管理士の登録の取消し又は期間を定めたマンション管理士の名称の使用停止命令を受けることがある。 エ マンション管理士は、その事務を行うに際し、マンションの区分所有者から請求があったときは、マンション管理士登録証を提示しなければならない義務がある。 １ 一つ ２ 二つ ３ 三つ ４ 四つ,2
m2022_47,マンション管理士,2022,47,「マンションの管理の適正化の推進を図るための基本的な方針」（令和３年９月 28 日 国土交通省告示第 1286 号）（この問いにおいて「基本的な方針」という。）における記載事項に関する次の記述のうち、適切なものはいくつあるか。 ア 基本的な方針では、管理規約や使用細則に違反する行為があった場合は、管理組合は、法令等に則り、少額訴訟等の方法によってその是正又は排除を求め法的措置をとることが重要であるとされている。 イ 基本的な方針では、管理組合によるマンション管理の適正化について定められており、新築分譲マンションについての記載はない。 ウ 基本的な方針では、住生活基本計画（全国計画）において 25 年以上の長期修繕計画に基づき修繕積立金を設定している管理組合の割合を国における目標として掲げている旨が記載されているが、地方公共団体における目標設定については言及していない。 エ 基本的な方針では、長期修繕計画の作成にあたっては、あらかじめ建物診断を行って計画を適切なものとする必要があるが、必要に応じ、建替えについても視野に入れて検討することが望ましいとされている。 １ 一つ ２ 二つ ３ 三つ ４ 四つ,2
m2022_48,マンション管理士,2022,48,マンション管理適正化法に関する次の記述のうち、正しいものはいくつあるか。 ア マンション管理適正化推進計画は、都道府県又は市の区域にあっては当該市が作成することとされており、町村は作成することができない。 イ 地方住宅供給公社は、管理計画認定マンションについて、委託により修繕に関する企画又は実施の調整に関する業務を行うことができる。 ウ 都道府県知事等は、管理組合の運営がマンション管理適正化指針に照らして著しく不適切であることを把握したときは、マンション管理業者に対し、マンション管理適正化指針に則したマンションの管理を行うよう勧告することができる。 エ 都道府県等は、マンション管理適正化推進計画に基づく措置の実施に関して特に必要があると認めるときは、関係地方公共団体や管理組合のほか、マンション管理業者に対しても調査を実施するために必要な協力を求めることができる。 １ 一つ ２ 二つ ３ 三つ ４ 四つ,2
m2022_49,マンション管理士,2022,49,マンション管理適正化法に定める管理計画の認定に関する次の記述のうち、正しいものはどれか。 １ 都道府県知事は、マンション管理適正化推進計画の策定の有無にかかわらず、管理計画の認定をすることができる。 ２ 管理計画の認定は、10 年ごとにその更新を受けなければ、その期間の経過によって、その効力を失う。 ３ 管理計画を認定するためには、長期修繕計画の計画期間が 30 年以上であるか、又は長期修繕計画の残存期間内に大規模修繕工事が２回以上含まれるように設定されていることが必要である。 ４ 管理計画を認定するためには、管理組合が組合員名簿、居住者名簿を備えていることに加え、１年に１回以上は内容の確認を行っていることが必要である。,4
m2022_50,マンション管理士,2022,50,重要事項の説明等について説明した次の文章について、マンション管理適正化法の規定によれば、〔 ア 〕～〔 エ 〕の中に入るべき用語の組合せとして、正しいものはどれか。 マンションの管理業者は、管理組合から管理事務の委託を受けることを内容とする契約を締結しようとするときは、あらかじめ、説明会を開催し、管理組合を構成するマンションの〔 ア 〕に対し、管理業務主任者をして、重要事項について説明させなければならない。説明会の開催に際し、マンション管理業者は、できる限り説明会に参加する参集の便を考慮して開催の日時及び場所を定め、開催日の〔 イ 〕前までに説明会の日時及び場所についてマンションの〔 ア 〕の見やすい場所に掲示するとともに、併せて重要事項を記載した書面を〔 ア 〕の全員に対し交付しなければならない。 また、マンションの管理業者は、従前の管理受託契約と同一の条件で管理組合との管理受託契約を更新しようとするときは、あらかじめ、マンションの〔 ウ 〕全員に重要事項を記載した書面を交付し、また管理者等が置かれている管理組合の場合は、管理業務主任者をして、管理者等に交付・説明させなければならない。ただし、〔 エ 〕から重要事項について説明を要しない旨の意思表明があったときは、重要事項を記載した書面の交付をもって、これらの説明に代えることができる。 〔 ア 〕 〔 イ 〕 〔 ウ 〕 〔 エ 〕 区分所有者等及び １管理組合の管理者等 10 日 区分所有者等 理事会等 区分所有者等及び ２管理組合の管理者等 １週間 区分所有者等 認定管理者等 ３ 区分所有者等 10 日 区分所有者等及び管理組合の管理者等 認定管理者等 ４ 区分所有者等 １週間 区分所有者等及び管理組合の管理者等 理事会等,2
